x y z
0.0 2.32833358 3.92519083
0.0 2.04651356 3.5225908
NaN NaN NaN
0.0 0.824136314 5.25879172
0.00249449293 0.837716339 5.21379227
NaN NaN NaN
0.0 0.824136314 5.25879172
-0.00249449293 0.837716339 5.21379227
NaN NaN NaN
0.0 0.824136314 5.25879172
0.0 0.686 5.201
NaN NaN NaN
0.00249449293 0.837716339 5.21379227
0.0219471069 0.847889325 5.04060387
NaN NaN NaN
0.00249449293 0.837716339 5.21379227
0.0 0.686 5.201
NaN NaN NaN
0.00249449293 0.837716339 5.21379227
0.0144512874 0.681223727 5.06946879
NaN NaN NaN
-0.00249449293 0.837716339 5.21379227
-0.0218619338 0.847814387 5.0413551
NaN NaN NaN
-0.00249449293 0.837716339 5.21379227
0.0 0.686 5.201
NaN NaN NaN
-0.00249449293 0.837716339 5.21379227
-0.0143672363 0.681251507 5.0702338
NaN NaN NaN
-0.0218619338 0.847814387 5.0413551
-0.0397041624 0.805436605 4.87047147
NaN NaN NaN
-0.0218619338 0.847814387 5.0413551
-0.0143672363 0.681251507 5.0702338
NaN NaN NaN
-0.0218619338 0.847814387 5.0413551
-0.0295208027 0.676243125 4.93231066
NaN NaN NaN
0.0219471069 0.847889325 5.04060387
0.0398183906 0.805449814 4.86944366
NaN NaN NaN
0.0219471069 0.847889325 5.04060387
0.0144512874 0.681223727 5.06946879
NaN NaN NaN
0.0219471069 0.847889325 5.04060387
0.0296380174 0.676204384 4.93124381
NaN NaN NaN
0.0 0.686 5.303
0.081 0.659 5.303
NaN NaN NaN
0.0 0.686 5.303
-0.081 0.659 5.303
NaN NaN NaN
0.0 0.686 5.303
0.0 0.6125 5.401
NaN NaN NaN
0.0 0.686 5.303
0.0 0.686 5.201
NaN NaN NaN
0.0722406726 1.05346815 4.63455362
0.0584228717 0.825432861 4.70619229
NaN NaN NaN
0.0722406726 1.05346815 4.63455362
0.103535835 1.08843168 4.36025755
NaN NaN NaN
0.0722406726 1.05346815 4.63455362
0.0757292488 0.829171482 4.55087593
NaN NaN NaN
-0.074141372 1.05153634 4.61695069
-0.056425214 0.847031506 4.72924674
NaN NaN NaN
-0.074141372 1.05153634 4.61695069
-0.102976295 1.10550825 4.36928101
NaN NaN NaN
-0.074141372 1.05153634 4.61695069
-0.0782385763 0.857657181 4.53485844
NaN NaN NaN
0.081 0.659 5.303
0.0 0.6125 5.401
NaN NaN NaN
0.081 0.659 5.303
0.0 0.686 5.201
NaN NaN NaN
0.081 0.659 5.303
0.0405 0.599 5.401
NaN NaN NaN
0.081 0.659 5.303
0.0849226224 0.657727798 5.17832422
NaN NaN NaN
0.081 0.659 5.303
0.0937854533 0.640313568 5.1744898
NaN NaN NaN
0.081 0.659 5.303
0.0735 0.534 5.401
NaN NaN NaN
0.081 0.659 5.303
0.147 0.529 5.303
NaN NaN NaN
-0.081 0.659 5.303
0.0 0.6125 5.401
NaN NaN NaN
-0.081 0.659 5.303
0.0 0.686 5.201
NaN NaN NaN
-0.081 0.659 5.303
-0.0405 0.599 5.401
NaN NaN NaN
-0.081 0.659 5.303
-0.0848993308 0.657735352 5.17906451
NaN NaN NaN
-0.081 0.659 5.303
-0.0735 0.534 5.401
NaN NaN NaN
-0.081 0.659 5.303
-0.147 0.529 5.303
NaN NaN NaN
-0.081 0.659 5.303
-0.143919159 0.541535836 5.17806658
NaN NaN NaN
0.0 0.6125 5.401
0.0405 0.599 5.401
NaN NaN NaN
0.0 0.6125 5.401
-0.0405 0.599 5.401
NaN NaN NaN
0.0 0.6125 5.401
0.0 0.539 5.499
NaN NaN NaN
0.0 0.686 5.201
-0.0848993308 0.657735352 5.17906451
NaN NaN NaN
0.0 0.686 5.201
0.0849226224 0.657727798 5.17832422
NaN NaN NaN
0.0 0.686 5.201
-0.0143672363 0.681251507 5.0702338
NaN NaN NaN
0.0 0.686 5.201
0.0144512874 0.681223727 5.06946879
NaN NaN NaN
0.0405 0.599 5.401
0.0 0.539 5.499
NaN NaN NaN
0.0405 0.599 5.401
0.0735 0.534 5.401
NaN NaN NaN
-0.0405 0.599 5.401
0.0 0.539 5.499
NaN NaN NaN
-0.0405 0.599 5.401
-0.0735 0.534 5.401
NaN NaN NaN
0.0298711887 2.04085824 3.80009478
0.0539570268 1.59758525 3.84830369
NaN NaN NaN
0.0298711887 2.04085824 3.80009478
0.0 2.04651356 3.5225908
NaN NaN NaN
0.0298711887 2.04085824 3.80009478
0.0276002457 1.78782737 3.40184308
NaN NaN NaN
-0.0298711887 2.04085824 3.80009478
-0.0736290855 1.44233247 4.11966252
NaN NaN NaN
-0.0298711887 2.04085824 3.80009478
0.0 2.04651356 3.5225908
NaN NaN NaN
-0.0298711887 2.04085824 3.80009478
-0.0276002457 1.78782737 3.40184308
NaN NaN NaN
-0.0848993308 0.657735352 5.17906451
-0.0143672363 0.681251507 5.0702338
NaN NaN NaN
-0.0848993308 0.657735352 5.17906451
-0.088995864 0.656406747 5.04886119
NaN NaN NaN
-0.0848993308 0.657735352 5.17906451
-0.143919159 0.541535836 5.17806658
NaN NaN NaN
-0.0848993308 0.657735352 5.17906451
-0.140699046 0.554638364 5.04748546
NaN NaN NaN
0.0849226224 0.657727798 5.17832422
0.0937854533 0.640313568 5.1744898
NaN NaN NaN
0.0849226224 0.657727798 5.17832422
0.0144512874 0.681223727 5.06946879
NaN NaN NaN
0.0849226224 0.657727798 5.17832422
0.0890297231 0.656395765 5.04778502
NaN NaN NaN
-0.0397041624 0.805436605 4.87047147
-0.056425214 0.847031506 4.72924674
NaN NaN NaN
-0.0397041624 0.805436605 4.87047147
-0.0295208027 0.676243125 4.93231066
NaN NaN NaN
-0.0397041624 0.805436605 4.87047147
-0.0454242329 0.670986906 4.78756249
NaN NaN NaN
0.0 0.539 5.499
0.0735 0.534 5.401
NaN NaN NaN
0.0 0.539 5.499
-0.0735 0.534 5.401
NaN NaN NaN
0.0 0.539 5.499
0.044 0.4755 5.401
NaN NaN NaN
0.0 0.539 5.499
-0.044 0.4755 5.401
NaN NaN NaN
0.0 0.539 5.499
0.0 0.4655 5.401
NaN NaN NaN
0.0398183906 0.805449814 4.86944366
0.0584228717 0.825432861 4.70619229
NaN NaN NaN
0.0398183906 0.805449814 4.86944366
0.0296380174 0.676204384 4.93124381
NaN NaN NaN
0.0398183906 0.805449814 4.86944366
0.0455241049 0.670953898 4.78665349
NaN NaN NaN
0.0937854533 0.640313568 5.1744898
0.0890297231 0.656395765 5.04778502
NaN NaN NaN
0.0937854533 0.640313568 5.1744898
0.147 0.529 5.303
NaN NaN NaN
0.0937854533 0.640313568 5.1744898
0.107060606 0.620911422 5.0410575
NaN NaN NaN
0.0937854533 0.640313568 5.1744898
0.152562874 0.524527886 5.17472668
NaN NaN NaN
-0.0143672363 0.681251507 5.0702338
-0.088995864 0.656406747 5.04886119
NaN NaN NaN
-0.0143672363 0.681251507 5.0702338
-0.0295208027 0.676243125 4.93231066
NaN NaN NaN
0.0144512874 0.681223727 5.06946879
0.0890297231 0.656395765 5.04778502
NaN NaN NaN
0.0144512874 0.681223727 5.06946879
0.0296380174 0.676204384 4.93124381
NaN NaN NaN
-0.0736290855 1.44233247 4.11966252
-0.102976295 1.10550825 4.36928101
NaN NaN NaN
-0.0736290855 1.44233247 4.11966252
-0.0906492538 1.01789763 3.97527133
NaN NaN NaN
-0.0736290855 1.44233247 4.11966252
-0.0276002457 1.78782737 3.40184308
NaN NaN NaN
-0.0736290855 1.44233247 4.11966252
-0.0639894682 1.18934662 3.57364192
NaN NaN NaN
0.0735 0.534 5.401
0.147 0.529 5.303
NaN NaN NaN
0.0735 0.534 5.401
0.044 0.4755 5.401
NaN NaN NaN
-0.0735 0.534 5.401
-0.147 0.529 5.303
NaN NaN NaN
-0.0735 0.534 5.401
-0.044 0.4755 5.401
NaN NaN NaN
-0.056425214 0.847031506 4.72924674
-0.0782385763 0.857657181 4.53485844
NaN NaN NaN
-0.056425214 0.847031506 4.72924674
-0.0454242329 0.670986906 4.78756249
NaN NaN NaN
-0.056425214 0.847031506 4.72924674
-0.0620277934 0.665499289 4.63644195
NaN NaN NaN
-0.088995864 0.656406747 5.04886119
-0.0295208027 0.676243125 4.93231066
NaN NaN NaN
