x,y,phi_deg,sigma_dBsm,rho
-15.397532453949033,-14.115451126172918,222.51256281407035,14.035730537432812,20.888512780133247
-16.571500482188725,-16.183655632624966,224.321608040201,16.310234354163086,23.16301659686352
-17.400533006289695,-18.101201780745516,226.13065326633165,18.255623816032998,25.108406058733433
-17.73205228483146,-19.651806385885443,227.9396984924623,19.61642954118774,26.469211783888174
-17.566682075407037,-20.749680336865364,229.74874371859295,20.33430206622324,27.187084308923676
-16.9520554966794,-21.35583161291855,231.55778894472363,20.413382310493134,27.26616455319357
-15.940777673711494,-21.43833837697126,233.36683417085425,19.862583096523686,26.71536533922412
-14.582776200821346,-20.963028430711304,235.17587939698493,18.6835824694126,25.536364712113034
-12.942939474151407,-19.918903170784176,236.9849246231156,16.901846480111097,23.754628722811532
-11.18172473537514,-18.4588374158101,238.79396984924622,14.728683110722882,21.58146535342332
-9.759678277730501,-17.322769978185445,240.6030150753769,13.03011693729662,19.882899179997054
-9.25281068250287,-17.708071943851326,242.41206030150752,13.126965440762783,19.979747683463216
-9.337096803285105,-19.332883334071298,244.2211055276382,14.616771891531805,21.46955413423224
-9.397409623765425,-21.136855115788244,246.03015075376885,16.278969783954672,23.131752026655107
-9.258515278077045,-22.731738847791338,247.83919597989947,17.692116538891064,24.5448987815915
-8.940143169438837,-24.1014130653521,249.64824120603015,18.853331264338873,25.70611350703931
-8.488847839085166,-25.307776717445154,251.45728643216077,19.84073944356644,26.693521686266877
-7.939928860879248,-26.40876991120823,253.26633165829145,20.72375848558817,27.576540728288606
-7.314347743595965,-27.441873952665045,255.07537688442213,21.54714960489743,28.399931847597866
-6.622458224835453,-28.42330960715409,256.88442211055275,22.331828118992398,29.184610361692833
-5.868344992458337,-29.35078124476687,258.69346733668345,23.078903854622407,29.931686097322842
-5.053671482593416,-30.207687561398362,260.50251256281405,23.774721463299493,30.627503705999928
-4.180771483174738,-30.968700314982367,262.3115577889447,24.396845745384734,31.24962798808517
-3.2546583541128893,-31.60582653483155,264.1206030150754,24.920179091614294,31.77296133431473
-2.2837976466870695,-32.09348254829055,265.929648241206,25.321856119967194,32.17463836266763
-1.279865175767856,-32.41170224633058,267.7386934673367,25.584179658392184,32.436961901092616
-0.2569182165865881,-32.54760810244782,269.5477386934673,25.69583985041651,32.54862209311695
0.7696565343244757,-32.495836184660995,271.356783919598,25.65216723458919,32.50494947728963
1.784236672123895,-32.25858664924292,273.16582914572865,25.455110184829802,32.307892427530234
2.7720592692051413,-31.84561986669588,274.9748743718593,25.113259384095983,31.966041626796418
3.720304824674349,-31.274065910522463,276.78391959798995,24.64178659962853,31.494568842328967
4.61906191139712,-30.56750823035101,278.5929648241206,24.061749815118205,30.91453205781864
5.461891157494598,-29.75362559781313,280.40201005025125,23.398010990389476,30.25079323308991
6.245579663217308,-28.859989298730476,282.21105527638196,22.67527640754664,29.528058650247075
6.968763528686812,-27.908470161266383,284.02010050251255,21.912585334666822,28.765367577367257
7.629411333574967,-26.90951266319133,285.82914572864325,21.117376660447338,27.970158903147773
8.22139854860643,-25.857319091000203,287.63819095477385,20.280082417501433,27.132864660201868
8.730307236699034,-24.725967950183495,289.44723618090455,19.36918861230322,26.221970855003654
9.128747181520698,-23.466917932574187,291.25628140703515,18.32717531004961,25.179957552750047
9.373805548693188,-22.013484723463655,293.06532663316585,17.07339045865067,23.926172701351106
9.419436572759176,-20.316229310786987,294.8743718592965,15.54085432568018,22.393636568380614
9.297536204288333,-18.499429714389073,296.6834170854271,13.851639488603091,20.704421731303526
9.381953693937941,-17.28483152671913,298.4924623115578,12.814105056062921,19.666887298763356
10.348318955275577,-17.707955862446834,300.3015075376884,13.657200839361845,20.50998308206228
12.030246604581578,-19.170012120564078,302.1105527638191,15.779411598587254,22.632193841287688
13.784910417616953,-20.49896128678336,303.91959798994975,17.850075265263442,24.702857507963877
15.316466118314166,-21.292647584709005,305.7286432160804,19.376418574710684,26.22920081741112
16.52791821324044,-21.510290920592475,307.53768844221105,20.274043888494646,27.12682613119508
17.367689577145452,-21.183893595007273,309.3467336683417,20.54053791190435,27.393320154604787
17.78690633465265,-20.349488043892606,311.15577889447235,20.174531730505166,27.0273139732056
17.735180929328276,-19.0420779748048,312.96482412060305,19.1690811839367,26.021863426637136
17.181147656236135,-17.317304246428897,314.77386934673365,17.541497028242837,24.394279270943272
16.17939795219773,-15.30923777884113,316.58291457286435,15.421545569035581,22.274327811736015
14.981727464438654,-13.30516010385026,318.39195979899495,13.184169701340458,20.036951944040894
13.910090713704502,-11.589037289963494,320.20100502512565,11.252366444113841,18.105148686814275
12.702247535134596,-9.920495765329067,322.0100502512563,9.264392716756474,16.11717495945691
10.27438348645461,-7.5144547831043615,323.81909547738695,5.876317753530688,12.729099996231124
6.881752445515963,-4.707071313884371,325.6281407035176,1.484785572637446,8.33756781533788
11.671420689106903,-7.453516296604603,327.43718592964825,6.995573836122171,13.848356078822606
16.32382421490584,-9.713108743213501,329.2462311557789,12.142262333626224,18.99504457632666
19.194262824471537,-10.615359053123472,331.05527638190955,15.081336686529898,21.934118929230333
20.908198219591533,-10.715699834828781,332.8643216080402,16.641450576012332,23.494232818712767
21.851059069041373,-10.34137775333628,334.67336683417085,17.321850666114,24.174632908814434
22.41549729123656,-9.75471843553716,336.4824120603015,17.593261416142237,24.446043658842672
23.041874128311278,-9.173455182626215,338.29145728643215,17.948029101539746,24.80081134424018
23.91294309530171,-8.656127345395907,340.1005025125628,18.578642965078394,25.43142520777883
24.76975824683421,-8.091436606736513,341.90954773869345,19.205081636893514,26.05786387959395
25.241673845728428,-7.372291265460746,343.71859296482415,19.443468003996706,26.29625024669714
25.12651169929522,-6.485228255218662,345.52763819095475,19.09716526586124,25.949947508561674
24.454164902648163,-5.494534596510462,347.33668341708545,18.211058075937082,25.063840318637517
23.550687287119995,-4.515657351057124,349.14572864321605,17.126918193457467,23.979700436157902
22.930375442730828,-3.6503710286114646,350.95477386934675,16.366333300125888,23.219115542826323
22.646754159951577,-2.875480646953617,352.7638190954774,15.975793335558688,22.828575578259123
22.036277288395443,-2.0935717610092675,354.57286432160805,15.282722256848434,22.13550449954887
20.211580807599887,-1.278011831715406,356.3819095477387,13.399163663412999,20.251945906113434
15.779883787662488,-0.4983964528453342,358.19095477386935,8.934970332518821,15.787752575219256
8.990672346345793,-2.202079622227e-15,360.0,2.137890103645357,8.990672346345793
