theta_deg,sigma_dBsm,sigma_dBsm_anal,relative_error
96.5,4.017665964767064,4.004948277658688,0.002932647497095852
97.0,4.3015096856539925,4.289473583585802,0.002775258840539089
97.5,4.584450584745747,4.573267855037217,0.002578236622875704
98.0,4.86240449132525,4.852204533285703,0.0023513873182666734
98.5,5.13199256175627,5.122869329504032,0.002102909878401356
99.0,5.390460354016929,5.382479203393449,0.0018394175017573066
99.5,5.635586130947992,5.628790044697054,0.0015660817163540553
100.0,5.86558964006975,5.860004599289593,0.0012868304210650783
100.50000000000001,6.079047712866842,6.074687168584518,0.0010045566555626152
101.0,6.27481962486319,6.271688127429719,0.0007213139527839819
101.5,6.451983007012777,6.450079099615787,0.00043848698640006376
102.0,6.609779864141885,6.609098361602942,0.00015693407156389734
102.5,6.747571634907245,6.748105405233228,0.00012289760703942227
103.0,6.86480198751112,6.866543341124974,0.00040088111297454157
103.5,6.96096602418438,6.96390780012201,0.0006771395795403941
104.0,7.035584660095056,7.039721082830411,0.0009519930996445835
104.5,7.088183084970683,7.093510451391096,0.0012259193965713576
105.00000000000001,7.118272372231029,7.124789616140453,0.0014995254538329047
105.5,7.125333452662423,7.133042624033543,0.0017735277455537169
106.0,7.108802810824343,7.117709498541153,0.0020487390996942875
106.5,7.068059392961866,7.07817311254911,0.0023260605144457074
107.0,7.002412341076852,7.013746902291827,0.00260647639520488
107.5,6.911089299744924,6.923663162201878,0.0028910516634652835
108.0,6.793225197111844,6.807061814311382,0.0031809289414455994
108.5,6.6478516049612635,6.662979746828067,0.0034773234531912996
109.0,6.473887074728398,6.4903411039051,0.0037815122365224218
109.50000000000001,6.270129289871265,6.287949344290379,0.0040948124645268525
110.0,6.035250571330338,6.054482569730003,0.004418540680723045
110.5,5.7677993862335,5.78849471575277,0.004753939811599746
111.0,5.466212308925926,5.488426960791997,0.005102052711839901
111.5,5.128843806846842,5.152636574710748,0.0054635077166824645
112.0,4.754025985861615,4.779455094803468,0.005838160040139868
112.5,4.340178173425203,4.367295307949013,0.0062244980188739165
113.0,3.8859987082640215,3.9148387674045564,0.006618668509571184
113.5,3.3907910630906217,3.4213549725824395,0.007012894320157951
114.00000000000001,2.8550064223623823,2.8872328628645483,0.0073929488634363934
114.5,2.2811265514743297,2.314846550102832,0.007734252171784618
115.0,1.6750574547083044,1.7099240652949053,0.007996192776777537
115.49999999999999,1.0482221456524705,1.0836082936134752,0.008114857012454154
116.00000000000001,0.42042746961550337,0.4552948513808311,0.007996368927338304
116.5,-0.1768950396884184,-0.14412188580223392,0.007517895743204854
117.0,-0.6986377275562692,-0.6700938353037129,0.0065509226132460935
117.5,-1.088492787472736,-1.066622707572223,0.00502311375327438
118.00000000000001,-1.289869810562627,-1.2767856358197904,0.0030082088169516227
118.50000000000001,-1.2647095319268997,-1.261356607388048,0.0007717414603673245
119.0,-1.010191879335545,-1.0158963287065905,0.0013143610248754416
119.5,-0.5601190096624199,-0.5729145096821885,0.0029506172875544217
119.99999999999999,0.030249661627781588,0.012806409375730333,0.0040245340350742774
120.50000000000001,0.703550175444093,0.6836740950488207,0.0045871254390417475
121.0,1.4126162481633153,1.3919777104274815,0.004763508538590815
121.5,2.1239760943992967,2.1036896965040923,0.0046820424061436924
122.0,2.8162115335978126,2.796954544273696,0.0044439307591313025
122.50000000000001,3.476753976691702,3.4589014392748045,0.004119159163431419
123.00000000000001,4.098918186671169,4.082651565099929,0.0037525512903223324
123.5,4.679693930102955,4.665076978326118,0.003371347778871374
124.0,5.218259965216437,5.205288061101067,0.0029913565087986344
124.49999999999999,5.715036589674902,5.703667554627803,0.002621246537129761
125.00000000000001,6.1711003906455675,6.16127326023838,0.0022653424178800084
125.5,6.587830427277269,6.579476658278139,0.001925377560401344
126.0,6.966698281545006,6.959748305349436,0.0016015723076670627
126.5,7.309146105403018,7.303533054905134,0.0012932882171212794
127.00000000000001,7.616517848924205,7.612179587733073,0.0009994206431270392
127.50000000000001,7.890022214163914,7.886902360738212,0.0007186308905721736
128.0,8.13071416760492,8.128762538196879,0.0004494802641944921
128.5,8.339486930146272,8.33865966014273,0.00019050410140580146
129.0,8.517069467621795,8.517328970758944,5.975102035524348e-5
129.5,8.664026390683167,8.66534125485679,0.00030271283777016646
130.0,8.78075830940217,8.78310319125616,0.0005397832647505754
130.5,8.867501359913895,8.870856918893523,0.0007723475944492973
131.0,8.924324999444181,8.928677900026559,0.0010017902719733267
131.5,8.951127354195958,8.956470359299265,0.0012295159154447127
132.0,8.947627460564048,8.9539596378142,0.001456975273693582
132.5,8.913353694689915,8.920680759361076,0.001685696603504649
133.0,8.847627549647681,8.855962373412629,0.0019173236775204131
133.5,8.749541689056455,8.758905012462842,0.002153662423587822
134.0,8.617930860973532,8.628352260659366,0.0023967391796174548
134.5,8.451333758817835,8.462852939457854,0.0026488748857965085
135.0,8.247943204449147,8.260611712880285,0.0029127814628044984
135.5,8.005541002919625,8.01942450200294,0.003191689498060408
136.0,7.721412320812258,7.73659362009974,0.003489520764727969
